"","q3_increasewhenopen_specify","q6_radio_pp_yes","q6_radio_p_yes","q6_radio_ls_yes","q6_radio_us_yes","q6_tv_pp_yes","q6_tv_p_yes","q6_tv_ls_yes","q6_tv_us_yes","q7_radio_yes_pp","q7_tv_yes_pp","q7_online_yes_pp","q7_paper_yes_pp","q7_radio_yes_p","q7_tv_yes_p","q7_online_yes_p","q7_paper_yes_p","q7_radio_yes_ls","q7_tv_yes_ls","q7_online_yes_ls","q7_paper_yes_ls","q7_radio_yes_us","q7_tv_yes_us","q7_online_yes_us","q7_paper_yes_us"
"1",NA,NA,NA,NA,NA,NA,NA,0.148663081170633,NA,NA,NA,0.069061058085421,NA,NA,1.1454859269783,NA,NA,NA,0.71440571314882,NA,NA,NA,NA,0.525785049785542,NA
"2",NA,1.39221760404086,-0.167489721039366,0.107908798120429,0.0703771767227633,0.45012974560791,-0.192342845401621,-0.241393517940434,-0.355876819722115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,2.20768734943277,2.09894607672597,1.09184692914744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,0.0752550056238303,-0.412403935766742,-0.512566791072036,-0.457451648697962,0.45012974560791,-0.192342845401621,-0.241393517940434,-0.355876819722115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,0.396939529690052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,-0.475427477407074,-0.529603669586462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6218819784916,NA,NA,NA,1.61884008056992
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,-0.188137514059576,-0.461386778712217,NA,NA,-0.390678647131394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
